"","logFC","logCPM","PValue","FDR"
"YML123C",-4.59840037146969,9.00905026690849,0,0
"YGR234W",-3.93748473455424,7.86796223289686,0,0
"YER081W",3.38039644263792,9.28017698322742,0,0
"YDR077W",-3.35104482674417,11.4894415379227,0,0
"YMR120C",-3.30492834828949,8.2376323250684,0,0
"YDR033W",-3.1483009432867,8.27043074322343,0,0
"YDR342C",-2.95449426852738,11.0713648083109,0,0
"YFR015C",-2.8332503305648,9.23346858119213,0,0
"YLR058C",-2.69513758283661,8.93563928475701,0,0
"YCL030C",-2.33223069752912,8.76958854411762,0,0
"YOR153W",-2.06484208811014,9.28029142329657,0,0
"YHR092C",-2.03336120189142,9.83681318710896,0,0
"YDR365W-B",-1.95327006364543,10.0637796937037,0,0
"YFR053C",-1.51429199396669,10.2038441665689,0,0
"YLL026W",-1.45662781019322,9.63429523018602,0,0
"YHR174W",-1.08009432226376,13.9803391905462,0,0
"YPL061W",-1.04386189881681,10.737756864229,0,0
"YAL038W",-1.00210266247756,13.2461551427025,0,0
"YGR192C",-0.644926624883677,14.746469154588,0,0
"YOL086C",-0.57423197115671,14.2628991601527,0,0
"YLR044C",-0.553960661960814,13.6378760756159,0,0
"YJL052W",-1.0298416011798,10.4286788696913,2.17940239306759e-279,5.86160179990043e-277
"YER067W",-1.93049676694492,8.74332319353724,1.77190451279825e-272,4.5584169574901e-270
"YPR160W",-2.2640492151746,8.25762950211558,1.10117740573894e-264,2.71486112906555e-262
"YBR067C",-2.275414143721,8.26912492139503,1.61687839488285e-260,3.82682778500873e-258
"YLR258W",-1.92745104160182,8.76260296577822,2.57941455958107e-253,5.87015228809276e-251
"YHR215W",-5.01480768879648,7.42841089814774,4.07567328732958e-240,8.93176253375153e-238
"YJL159W",-0.545067567595315,12.1320242313983,6.62021883532671e-237,1.39899410173672e-234
"R0040C",1.24256008825698,10.0168993401365,1.96297885622449e-233,4.00515375595872e-231
"YOR383C",0.738474407028202,11.4244645773914,1.1767498314695e-232,2.32094291760168e-230
"YKR080W",-3.19711608866242,7.59224007507514,3.79076537489987e-226,7.23547055589759e-224
"YIL169C",-3.00441691254566,7.46463625170182,4.13040465426035e-211,7.63737635601827e-209
"YDL229W",-0.702571893936502,11.3384927008216,2.25687878126836e-209,4.04665204508027e-207
"R0020C",1.09226803017568,10.1621985433677,5.21605061589516e-208,9.07746220419166e-206
"R0010W",1.14785311124927,10.2236006596106,1.18649822268232e-207,2.0058599953175e-205
"YAL005C",-1.08541312069942,10.4216271750481,7.4927316342848e-203,1.23151369666842e-200
"YKR075C",1.33887763446091,9.43587343337405,1.26640340322882e-198,2.02521863159593e-196
"YOL155C",-2.07654162114231,8.04522197391106,1.40853234088152e-196,2.19323312131473e-194
"YEL071W",1.62176804848071,8.95565073575743,3.57929312455263e-196,5.43043010717383e-194
"YER011W",-3.77809254615014,6.92461140635775,1.56225007102655e-195,2.31095841756602e-193
"YOL109W",-2.31365933543102,7.84552056964401,2.57252391857942e-191,3.71259122591083e-189
"YER138C",-2.42710106642761,9.7996817530392,3.29083683437815e-188,4.63616227357512e-186
"YGL008C",-0.621624749080429,11.2819433834402,8.36610580685605e-178,1.15121507114342e-175
"YOR374W",0.880279225332204,10.4991404255463,7.58406034945739e-175,1.01988375199408e-172
"YLR327C",-1.90784389125008,8.21885238732586,2.38995494020699e-172,3.14252519582328e-170
"YLR154W-C",-0.94305205123107,10.1655693688522,1.97217655131143e-171,2.53681927263255e-169
"YHR219W",1.07866218834271,9.75422119982474,9.21585089181023e-164,1.16021680269875e-161
"YDR345C",-0.528494977818436,11.6406821872488,1.89134843518444e-162,2.33148097728882e-160
"YMR008C",-1.95824662910798,7.88930143621608,4.69248348664606e-160,5.66641322254791e-158
"YGL234W",-1.42813726556776,8.81982283604585,3.89320131712554e-159,4.60721443868637e-157
"YPR145W",-1.32558560507034,9.32906417107099,5.29108141709217e-157,6.13869191077144e-155
"YCL025C",-2.08540436304299,7.76967471851398,1.95756753448235e-154,2.22748598106386e-152
"YCR005C",2.52992884382776,7.97506447585473,1.1935947006125e-153,1.33254714028758e-151
"YMR173W",-1.2997343240808,8.8286229301639,6.35275484695265e-153,6.96097230174423e-151
"YOR128C",-1.93505579568136,7.97910347865565,3.87442741655835e-151,4.16817945886832e-149
"YPR149W",-1.80963593864405,8.0165254115666,1.0017158391166e-145,1.05842011072373e-143
"YAL061W",-2.28187280816635,7.41797508707228,2.13923537971175e-144,2.22067644592183e-142
"R0030W",1.22875045037925,9.26410895874019,4.19324962169101e-144,4.27783758819754e-142
"YPR036W-A",1.37796167931422,9.04156912296228,5.39736849806393e-143,5.41292023780412e-141
"YOR290C",-10.5196285669835,5.79553619501731,4.20439994196513e-142,4.14623907610128e-140
"YAR009C",-2.73379443836883,8.8831194082853,1.88664963433753e-141,1.8300501453074e-139
"YBR118W",-0.32431632446619,13.8051775418365,2.44025005690776e-140,2.32886444947149e-138
"YBR010W",1.35594019205311,9.12552545835613,1.96298218226625e-137,1.8436453289634e-135
"YEL040W",-1.35435179427638,8.7777889573453,4.1875687120813e-135,3.87153813584141e-133
"YBL003C",1.2434686727088,9.07381133577798,9.01451941098344e-132,8.20598636227523e-130
"YMR105C",-1.17070254407254,8.90236886755175,2.11010611701821e-130,1.89174210521163e-128
"YIL053W",0.584638301136477,11.2220351887045,6.40235719230221e-127,5.65414141893316e-125
"YDR524W-C",2.16340340478926,7.83073959015429,3.50699597181254e-124,3.05160223017865e-122
"YLR413W",-1.74530894779787,7.73677869295874,1.92941374650749e-117,1.65454219392533e-115
"YKL152C",-0.325939112061027,12.9464030172812,4.88435018437716e-115,4.12867143442281e-113
"YOL158C",-1.80633455324878,7.67106188587808,7.42269508055527e-115,6.18592771713317e-113
"YDL022W",-1.20352332223314,8.75747389740045,8.85009484531199e-112,7.27305711107097e-110
"YBR296C",-3.48857047752836,6.60462759905314,3.66389499515517e-109,2.96976255977167e-107
"YAR015W",-1.61350161523818,7.84656946539075,2.34355194926612e-107,1.87389147078481e-105
"YCL040W",-0.458650362900152,11.4327129200899,3.50825390401286e-107,2.76777844667255e-105
"YLR350W",1.13265460447686,8.97490919924346,8.56228462761876e-105,6.66618922916055e-103
"YLR359W",-1.22554046877057,8.76481340235151,7.61331232847619e-96,5.85038559059657e-94
"YBR011C",0.696705561075568,10.2527512684808,5.72016142057686e-95,4.33925578532735e-93
"YDR019C",-2.74118835771783,6.40706228955424,1.27288588238229e-94,9.53375413424813e-93
"YER056C",-1.40552005008944,8.03841229008454,3.4465361936555e-94,2.54914433223245e-92
"YMR011W",-0.384703215631649,11.7539266197692,3.92885956860927e-93,2.87000766264951e-91
"YNL208W",-0.661897957611809,10.1637699995216,4.01195947931592e-92,2.89497124867223e-90
"YPR035W",-0.513646501788672,11.1534311764426,4.26105316458924e-92,3.03766886444271e-90
"YLL050C",1.01032425717214,9.07961272013419,1.5247700096945e-89,1.07405525563838e-87
"YPL019C",-1.735276673984,7.49795746875936,3.6300860513412e-89,2.52696696068069e-87
"YKL056C",-0.507897302985322,10.9139979189437,4.08560490525599e-88,2.81099118888369e-86
"YBR196C",-0.595750381055462,11.0104327665134,2.50755369887679e-87,1.70542473979931e-85
"YNL031C",1.045821720505,9.69477435689062,8.94102448662971e-87,6.01182294174863e-85
"YOL016C",-1.24710024414758,8.56380248764948,1.16825299709137e-86,7.76691346493218e-85
"YGL189C",0.61250862354529,10.3550421601512,1.0934536590319e-84,7.18885033387969e-83
"YJR029W",-3.19379702413856,9.04539143749051,1.92891616431421e-84,1.25421944442277e-82
"YLR355C",-0.769418116531736,9.77108381525563,8.70474479611506e-84,5.59847553897965e-82
"YDR055W",-1.72920550544479,7.341627877673,2.15484948891259e-82,1.37099402428987e-80
"YNL160W",-2.33959450591735,6.91720277747877,6.40531609130475e-82,4.0319420544947e-80
"YBR092C",-2.41214728236996,6.64209461479698,3.6273314120449e-81,2.25925473316523e-79
"YJR104C",-0.626131753164111,10.8049788968019,5.21899281186393e-79,3.21674796539571e-77
"YLR180W",-0.94188475204049,8.90863497738265,1.76606738465527e-78,1.07730110463971e-76
"YLR194C",-0.97731281466298,8.74081679724167,3.38075146014796e-78,2.04121493772403e-76
"YHL021C",-1.3779480058465,7.84162665138361,3.59270959864651e-78,2.14727906012034e-76
"YDL039C",-2.29686317379916,6.51336971799975,7.74248605195188e-77,4.58122899693993e-75
"YDL184C",0.940032525214191,9.10819747564887,9.35494387054844e-77,5.48051513683516e-75
"YMR300C",-1.74981109310944,7.19029375148372,6.64759655202567e-76,3.85625772532705e-74
"YBR031W",-0.405194203464245,11.3267322036715,2.37155408957553e-73,1.36237723767169e-71
"YLL024C",-0.610338473310927,10.7920656390073,2.3039419051069e-71,1.31081002428053e-69
"YGR061C",-1.04733702470013,8.90348422344732,2.7834946927463e-71,1.5685655330457e-69
"YMR122W-A",-0.714873240649416,9.86963065349011,9.36855525698523e-70,5.22959825052657e-68
"YER072W",-1.1697120833445,8.11854725939227,7.76854285048881e-68,4.2959315931161e-66
"YDR155C",-0.443265204554329,11.4002637383362,3.41534308878857e-66,1.87116528299648e-64
"YIL121W",-2.58747984209698,6.28482151895216,1.6938208470602e-65,9.19480546060113e-64
"YHR183W",-0.672448010223812,9.80390797954897,2.016936497882e-65,1.08492847799707e-63
"YHR136C",-3.93900446880082,5.23680034697687,3.53314245473116e-65,1.88338773915714e-63
"YDL182W",-1.30512084875383,8.14417775193123,3.62898478843995e-65,1.91720562439279e-63
"YJR148W",-1.293902535147,7.70430275269455,7.68996495388089e-65,4.02668341877108e-63
"YKL182W",-0.722172115090357,9.53538637372248,1.35957836134359e-63,7.05668874041228e-62
"YJL158C",-0.668788621312305,9.6502310819065,3.07980627019225e-63,1.58462727832414e-61
"YGR161C",1.02012377447948,8.65948308855905,6.23196925786314e-63,3.17884156023933e-61
"YPR124W",-0.997996925866816,8.30487241211075,5.0536398632909e-60,2.55575957872583e-58
"YKR039W",1.73780263975535,7.28135247786885,8.84468562793332e-60,4.43508515766792e-58
"YHL047C",-1.57208461686519,7.45641399228962,4.10691933001321e-59,2.04207072904942e-57
"YGR189C",0.713313948960432,9.72231769797544,6.15179567906097e-59,3.03334791941698e-57
"YBR162C",0.558855378929938,10.0165098373814,4.7980051792021e-58,2.34626418556519e-56
"YBL002W",1.18106690840571,8.22592684747303,5.09900321873097e-58,2.47301656108452e-56
"YOR273C",-1.30960929319394,7.50340356932658,1.31629280768498e-57,6.3321175146927e-56
"YKL062W",-1.6939946237906,6.92040935018475,2.85073795438563e-57,1.36030778033062e-55
"YBR093C",-1.63723034646595,6.8824929175018,9.39745048844094e-57,4.4483771632084e-55
"YDR406W",-1.45759125668385,7.2273954880935,1.44491189441713e-56,6.7853521264017e-55
"YNL030W",0.596961406835085,9.75960319492753,2.48400050177432e-55,1.15730952511801e-53
"YLR300W",-0.86061919607147,8.91471852278758,4.85661983608782e-55,2.24504840391653e-53
"YJR145C",-0.36015256933062,11.3245182373211,9.77078396344068e-55,4.48168439625415e-53
"YCR021C",-2.25742207557288,6.0558693330521,1.08720833608364e-54,4.94847055738992e-53
"YJL012C",-1.21277912918299,8.03976959651428,2.29120842080123e-54,1.03489162029625e-52
"YFL054C",1.70475828228618,7.46894423082373,7.43459597625267e-54,3.33261396905205e-52
"YHR162W",0.947251400042128,8.48326147503204,1.06831211976056e-53,4.75278406964152e-52
"YLR108C",2.49297556780888,6.32065703065454,1.65264387891549e-53,7.29753271010668e-52
"YGL147C",-0.439834067901581,10.4832507668368,3.14370892474604e-53,1.3778759783498e-51
"YBR009C",0.76873605054285,9.1830919399786,4.88392178457646e-53,2.12486508818668e-51
"YAL003W",-0.607531269399251,9.68070109916493,1.35755249574047e-52,5.86323950167616e-51
"YER145C",0.942383953085041,8.49891685452562,1.78887930472619e-52,7.67014409135134e-51
"YHR146W",1.21135712578459,7.89036620269448,2.69871424126203e-52,1.1487979975214e-50
"YDR224C",0.641010771756275,9.49323651145689,3.15410703235613e-52,1.33306080788937e-50
"YGR204W",-0.542435507615784,9.81195331249974,8.50724407916715e-52,3.57002576003064e-50
"YDR343C",-1.58344499637268,8.91896059196769,1.33196733613747e-50,5.55017656896155e-49
"YKL060C",-0.147582731216354,14.0269461972134,3.63913139858746e-50,1.50578604793301e-48
"YPL231W",-0.397773557886181,10.8465695313495,5.32171190707461e-50,2.18670620515003e-48
"YBR230C",1.24328392283289,7.76896771232363,5.84177029982916e-50,2.38384516304063e-48
"YKR057W",-0.542465727429077,9.85505841128666,1.71414181999702e-49,6.94697064994683e-48
"YDR516C",-0.513013837068291,10.0464339869887,4.99049140803043e-49,2.00875766403511e-47
"YBR212W",0.955899642117542,8.37789958880042,1.03736891500024e-48,4.14737288517326e-47
"YGR282C",0.459319166533374,10.3001720970915,2.01336199013371e-48,7.99534422524911e-47
"YGR008C",-0.988653391353287,8.09547435876616,2.37736125599298e-48,9.37789770114031e-47
"YLR348C",1.01721014717089,8.19106035893387,6.89538042754138e-48,2.70198450263327e-46
"YEL044W",1.40216786526404,7.4529942386178,2.34108380618104e-47,9.11328479024554e-46
"YBL085W",1.23667689137122,7.7132277124058,5.1406743586713e-46,1.98806341047438e-44
"YDR111C",1.73102277258285,6.94648897850536,1.19327276728494e-45,4.58480192469155e-44
"YER055C",-1.01268237146732,8.43828069707086,1.27908581826773e-45,4.88280695915495e-44
"YGR086C",0.484408327019295,10.1033388820875,2.79057245738803e-45,1.05844982245929e-43
"YHR216W",-0.953192387461844,8.08596899736842,3.38764599730351e-45,1.27673257108566e-43
"YJR009C",0.197888717261341,13.2901741257878,4.02460933167106e-45,1.50719072249985e-43
"YAL044C",-1.476450664596,7.15231458063553,5.10090782643198e-45,1.89824349742126e-43
"YMR056C",2.30127884943063,6.22430704968011,5.2094892422816e-45,1.92653424041126e-43
"YGR159C",-0.738662901200167,8.84996369261952,1.42369919877507e-44,5.23231562680253e-43
"YPL163C",-1.31335595069646,7.1097274474431,1.9195983495258e-44,7.01127372478034e-43
"YFR055W",-1.66501977662146,6.82963609195161,2.25963999411082e-44,8.20263180684277e-43
